2017/04/23 00:04:11 [release] Leaf 1.1.2 starting up
2017/04/23 00:04:11 [debug  ] Game Module Run	111
2017/04/23 00:04:11 [debug  ] Gate Module Run
2017/04/23 01:02:56 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:02:58 [debug  ] read message: EOF
2017/04/23 01:02:58 [debug  ] gs read message: read tcp 127.0.0.1:57359->127.0.0.1:8890: use of closed network connection
2017/04/23 01:03:00 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:03:14 [debug  ] read message: EOF
2017/04/23 01:03:14 [debug  ] gs read message: read tcp 127.0.0.1:57361->127.0.0.1:8890: use of closed network connection
2017/04/23 01:12:12 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:12:14 [debug  ] read message: EOF
2017/04/23 01:12:14 [debug  ] gs read message: read tcp 127.0.0.1:57577->127.0.0.1:8890: use of closed network connection
2017/04/23 01:12:18 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:12:24 [debug  ] read message: EOF
2017/04/23 01:12:24 [debug  ] gs read message: read tcp 127.0.0.1:57580->127.0.0.1:8890: use of closed network connection
2017/04/23 01:12:26 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:12:30 [debug  ] read message: EOF
2017/04/23 01:12:30 [debug  ] gs read message: read tcp 127.0.0.1:57587->127.0.0.1:8890: use of closed network connection
2017/04/23 01:12:33 [debug  ] recv Msg:[1 0 0 0 1 0 0 0 104 101 108 108 111 32 120 105 97 111 109 105 110 103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2017/04/23 01:12:48 [debug  ] read message: EOF
2017/04/23 01:12:48 [debug  ] gs read message: read tcp 127.0.0.1:57592->127.0.0.1:8890: use of closed network connection
