2017/06/27 00:07:00 [release] Leaf 1.1.2 starting up
2017/06/27 00:07:00 [debug  ] Gate Module Run
2017/06/27 01:10:55 [debug  ] read message: EOF
2017/06/27 01:10:55 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57421->127.0.0.1:8890: use of closed network connection
2017/06/27 01:12:02 [debug  ] read message: EOF
2017/06/27 01:12:02 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57491->127.0.0.1:8890: use of closed network connection
2017/06/27 01:13:08 [debug  ] read message: EOF
2017/06/27 01:13:08 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57548->127.0.0.1:8890: use of closed network connection
2017/06/27 01:16:07 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/27 01:16:07 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:57582: use of closed network connection
2017/06/27 01:16:12 [debug  ] read message: EOF
2017/06/27 01:16:12 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57804->127.0.0.1:8890: use of closed network connection
2017/06/27 01:17:12 [debug  ] read message: EOF
2017/06/27 01:17:12 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:57819->127.0.0.1:8890: use of closed network connection
2017/06/27 01:18:09 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/27 01:18:09 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:57842: use of closed network connection
2017/06/27 01:24:07 [debug  ] read message: EOF
2017/06/27 01:24:07 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58296->127.0.0.1:8890: use of closed network connection
2017/06/27 01:24:37 [debug  ] read message: EOF
2017/06/27 01:24:37 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58327->127.0.0.1:8890: use of closed network connection
2017/06/27 01:26:32 [debug  ] read message: EOF
2017/06/27 01:26:32 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58345->127.0.0.1:8890: use of closed network connection
2017/06/27 01:26:57 [debug  ] read message: EOF
2017/06/27 01:26:57 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58419->127.0.0.1:8890: use of closed network connection
2017/06/27 01:31:05 [debug  ] read message: EOF
2017/06/27 01:31:05 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58557->127.0.0.1:8890: use of closed network connection
2017/06/27 01:31:33 [debug  ] read message: EOF
2017/06/27 01:31:33 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58568->127.0.0.1:8890: use of closed network connection
2017/06/27 01:33:10 [debug  ] read message: EOF
2017/06/27 01:33:10 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58635->127.0.0.1:8890: use of closed network connection
2017/06/27 01:33:32 [debug  ] read message: EOF
2017/06/27 01:33:32 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58647->127.0.0.1:8890: use of closed network connection
2017/06/27 01:34:40 [debug  ] read message: EOF
2017/06/27 01:34:40 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:58699->127.0.0.1:8890: use of closed network connection
2017/06/27 01:35:04 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/27 01:35:04 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:58720: use of closed network connection
2017/06/27 01:41:26 [error  ] newGSConn io.ReadFull error1:EOF
2017/06/27 01:41:26 [debug  ] read message: read tcp 127.0.0.1:11000->127.0.0.1:58902: use of closed network connection
2017/06/27 01:46:57 [debug  ] read message: EOF
2017/06/27 01:46:57 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59148->127.0.0.1:8890: use of closed network connection
2017/06/27 01:47:07 [debug  ] read message: EOF
2017/06/27 01:47:07 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59163->127.0.0.1:8890: use of closed network connection
2017/06/27 01:47:30 [debug  ] read message: EOF
2017/06/27 01:47:30 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59175->127.0.0.1:8890: use of closed network connection
2017/06/27 01:48:24 [debug  ] read message: EOF
2017/06/27 01:48:24 [error  ] newGSConn io.ReadFull error1:read tcp 127.0.0.1:59182->127.0.0.1:8890: use of closed network connection
2017/06/27 01:48:45 [release] Leaf closing down (signal: interrupt)
2017/06/27 14:09:13 [release] Leaf 1.1.2 starting up
2017/06/27 14:09:13 [debug  ] Gate Module Run
2017/06/27 14:57:48 [debug  ] read message: EOF
